Size,Marginal_Effect
18.847781616173485,-1.471507722086482
18.948216253159124,-1.415672091496674
19.04865089014476,-1.361494949556569
19.1490855271304,-1.308976296266131
19.249520164116035,-1.2581161316253677
19.349954801101674,-1.208914455634286
19.450389438087313,-1.1613712682928892
19.55082407507295,-1.1154865696011527
19.65125871205859,-1.0712603595591084
19.751693349044228,-1.0286926381667456
19.852127986029863,-0.9877834054240395
19.952562623015503,-0.9485326613310292
20.052997260001142,-0.9109404058876933
20.153431896986778,-0.8750066390940319
20.253866533972417,-0.840731360950052
20.354301170958053,-0.8081145714557536
20.454735807943692,-0.7771562706111297
20.55517044492933,-0.7478564584161731
20.655605081914967,-0.7202151348709052
20.756039718900606,-0.6942322999753188
20.85647435588624,-0.6699079537293926
20.95690899287188,-0.6472420961331622
21.05734362985752,-0.6262347271866062
21.157778266843156,-0.6068858468897176
21.258212903828795,-0.5891954552425176
21.358647540814435,-0.573163552244992
21.45908217780007,-0.5587901378971338
21.55951681478571,-0.5460752121989643
21.65995145177135,-0.5350187751504762
21.760386088756984,-0.5256208267516698
21.860820725742624,-0.5178813670025235
21.96125536272826,-0.5118003959030659
22.0616899997139,-0.5073779134532899
22.162124636699538,-0.5046139196531811
22.262559273685174,-0.503508414502754
22.362993910670813,-0.5040613980020083
22.46342854765645,-0.50627287015093
22.563863184642088,-0.5101428309495404
22.664297821627727,-0.5156712803978323
22.764732458613363,-0.5228582184957915
22.865167095599002,-0.5317036452434323
22.965601732584638,-0.5422075606407475
23.066036369570277,-0.5543699646877513
23.166471006555916,-0.5681908573844154
23.266905643541556,-0.5836702387307682
23.36734028052719,-0.6008081087268096
23.46777491751283,-0.6196044673725041
23.568209554498466,-0.6400593146678943
23.668644191484105,-0.662172650612959
23.769078828469745,-0.6859444752076911
23.86951346545538,-0.7113747884521118
23.96994810244102,-0.738463590346214
24.070382739426655,-0.7672108808899765
24.170817376412295,-0.7976166600834347
24.271252013397934,-0.8296809279265673
24.371686650383573,-0.8634036844193744
24.47212128736921,-0.8987849295618489
24.572555924354845,-0.9358246633540261
24.672990561340484,-0.9745228857958637
24.773425198326123,-1.0148795968873756
24.873859835311762,-1.056894796628569
24.974294472297398,-1.1005684850194513
25.074729109283037,-1.1459006620599936
25.175163746268673,-1.1928913277502318
25.275598383254312,-1.2415404820901372
25.37603302023995,-1.2918481250797242
25.476467657225587,-1.3438142567189786
25.576902294211227,-1.3974388770079216
25.677336931196862,-1.4527219859465461
25.7777715681825,-1.509663583534838
25.87820620516814,-1.5682636697728114
25.97864084215378,-1.6285222446604664
26.079075479139416,-1.6904393081977815
26.17951011612505,-1.7540148603847996
26.27994475311069,-1.819248901221485
26.38037939009633,-1.8861414307078377
26.48081402708197,-1.9546924488438862
26.581248664067605,-2.024901955629609
26.681683301053244,-2.0967699510650064
26.78211793803888,-2.170296435150071
26.88255257502452,-2.2454814078848244
26.98298721201016,-2.3223248692692593
27.083421848995794,-2.4008268193033544
27.183856485981433,-2.4809872579871453
27.28429112296707,-2.5628061853206106
27.38472575995271,-2.646283601303743
27.485160396938348,-2.7314195059365645
27.585595033923987,-2.81821389921906
27.686029670909623,-2.9066667811512303
27.78646430789526,-2.996778151733082
27.886898944880897,-3.0885480109646153
27.987333581866537,-3.181976358845816
28.087768218852176,-3.277063195376712
28.18820285583781,-3.373808520557276
28.28863749282345,-3.472212334387507
28.389072129809087,-3.5722746368674194
28.489506766794726,-3.6739954279970277
28.589941403780365,-3.7773747077763034
28.690376040766,-3.8824124762052463
28.79081067775164,-3.989108733283871
