,Lev,NPR,Size,Tang,Growth,NDTS,SOE
Lev,1.0,-0.3395300241243326,0.5202517239501282,0.105550418360382,0.04563357440890312,0.05801410983348509,0.27697774254981145
NPR,-0.3395300241243326,1.0,-0.023996666472353073,-0.05047230083498899,0.12397910838015151,-0.09150405635600807,-0.0786443671730452
Size,0.5202517239501282,-0.023996666472353073,1.0,0.1256094415547171,0.030819720020777593,0.09296117221719295,0.396086738500677
Tang,0.105550418360382,-0.05047230083498899,0.1256094415547171,1.0,-0.030157052480828037,0.7663103089576331,0.14201756890173634
Growth,0.04563357440890312,0.12397910838015151,0.030819720020777593,-0.030157052480828037,1.0,-0.05807835017812193,-0.01962221283501972
NDTS,0.05801410983348509,-0.09150405635600807,0.09296117221719295,0.7663103089576331,-0.05807835017812193,1.0,0.08025102123951038
SOE,0.27697774254981145,-0.0786443671730452,0.396086738500677,0.14201756890173634,-0.01962221283501972,0.08025102123951038,1.0
