,Lev,NPR,Size,Tang,Growth,NDTS,SOE
Lev,1.0,0.0,0.0,0.0,1.1049782952083657e-67,2.7371229551772316e-108,0.0
NPR,0.0,1.0,6.383308776892991e-20,2.1282464656117892e-82,0.0,4.912871096033215e-267,1.3675823903548745e-197
Size,0.0,6.383308776892991e-20,1.0,0.0,8.248525171133254e-32,1.4164868171063677e-275,0.0
Tang,0.0,2.1282464656117892e-82,0.0,1.0,1.5804296471265277e-30,0.0,0.0
Growth,1.1049782952083657e-67,0.0,8.248525171133254e-32,1.5804296471265277e-30,1.0,1.5895363982271195e-108,7.926153867874342e-14
NDTS,2.7371229551772316e-108,4.912871096033215e-267,1.4164868171063677e-275,0.0,1.5895363982271195e-108,1.0,1.0972890994284854e-205
SOE,0.0,1.3675823903548745e-197,0.0,0.0,7.926153867874342e-14,1.0972890994284854e-205,1.0
