,Full_N,Full_Mean,Full_SD,Full_P10,Full_P25,Full_Median,Full_P75,Full_P90,SOE_N,SOE_Mean,SOE_SD,SOE_P10,SOE_P25,SOE_Median,SOE_P75,SOE_P90,Non-SOE_N,Non-SOE_Mean,Non-SOE_SD,Non-SOE_P10,Non-SOE_P25,Non-SOE_Median,Non-SOE_P75,Non-SOE_P90
Lev,144960,0.39622443004246893,0.1941973623758567,0.141267970138375,0.23769017963965972,0.3877628219626441,0.541134503572368,0.6628334543502902,38907,0.4850287937609053,0.19231769114315167,0.2138821299691499,0.3375644909906339,0.493845014039101,0.634433888195309,0.7395610509628213,106053,0.3636453292231314,0.18445839557062937,0.1266421973927903,0.2126923573089577,0.3507681248016295,0.4973968123158438,0.6187307197650286
NPR,144960,0.03765078684096317,0.05590971818543331,-0.0098065750187429,0.0136809843915085,0.0366253276419749,0.0658633028427858,0.098271961745198,38907,0.030391381711419436,0.04340105913460981,0.0005871278706515,0.0099731937365505,0.0267706319206264,0.0497504113372668,0.07905076246558401,106053,0.04031399934202546,0.05962572326594235,-0.0136891270893024,0.0158235648142637,0.0413148138247723,0.0709779018761214,0.1037301575385117
Size,144960,22.305339428515538,1.3184560065221091,20.851523558982876,21.364217488274328,22.06820215717766,23.00929481790716,24.07027509356646,38907,23.167527586579006,1.50442964370032,21.39849604129668,22.060872902971894,22.999932167094855,24.069670051276248,25.10977771552464,106053,21.98903385803875,1.0830425417846512,20.75978881869428,21.22314513117642,21.82349679565437,22.591521750389813,23.422227050102126
Tang,144960,0.2030637107941776,0.1499182436930697,0.0345120347403401,0.085764695640644,0.173041215781515,0.2870244077000244,0.4171064120833052,38907,0.23821511417387412,0.1852935001677299,0.0295193942217316,0.0834492166976263,0.1941072212629203,0.3622806091217617,0.5303248971744188,106053,0.19016793555638278,0.132309511981701,0.0364028234218559,0.0864908531407222,0.1676183606044862,0.2690466030290059,0.3744186519107873
Growth,144960,0.02932824169100704,0.1037720640095627,0.0,0.0,0.0,0.0,0.10769027045528065,38907,0.02596642100203053,0.09256798325512373,0.0,0.0,0.0,0.0,0.09931098414324291,106053,0.030561571795256887,0.10756436543524345,0.0,0.0,0.0,0.0,0.11162444425025622
NDTS,144960,0.021922929596412986,0.014083041107757616,0.0058813624133364,0.0112153927946545,0.0193719983284855,0.0300729944386903,0.041477246521215,38907,0.023788850041664162,0.015701046244246696,0.005265013369098541,0.0113260680716569,0.0211441824837673,0.0337777020946308,0.0457338113716177,106053,0.02123839104716508,0.013375680968838656,0.0061054641357895,0.0111721672927836,0.0188745330333871,0.0288014298430473,0.0396748858134319
